"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"72","Tyler Lockett (TEN)","17","3","35","27","46","8","2","0","4","3","0","1","1","0","0","0","0"
"73","Dontayvion Wicks (GB)","17","2","24","16","48","8","3","0","4","3","1","1","1","0","0","0","0"
"74","Darius Slayton (NYG)","16","2","36","28","58","8","5","0","4","3","0","0","2","1","0","0","0"
"75","Joshua Palmer (BUF)","15","3","39","32","66","7","2","0","4","3","0","0","2","1","0","0","0"
"76","Mack Hollins (NE)","17","2","22","17","33","5","1","0","3","2","0","0","1","0","0","0","0"
"77","Olamide Zaccheaus (CHI)","17","3","30","13","24","17","5","0","4","3","0","0","1","0","0","0","0"
"78","Devaughn Vele (DEN)","13","3","37","27","35","10","3","0","4","3","0","1","1","1","0","0","0"
"79","Marquez Valdes-Scantling (SEA)","13","1","32","21","59","11","2","0","3","2","0","0","1","1","0","0","0"
"80","Parker Washington (JAC)","17","2","23","17","34","6","4","0","3","2","0","0","1","0","0","0","0"
"81","Ricky Pearsall (SF)","11","3","36","26","48","10","2","0","4","3","0","1","1","0","0","0","0"
"82","Jalen Coker (CAR)","11","3","43","28","47","16","3","0","4","3","0","1","2","1","0","0","0"
"83","Elijah Moore (BUF)","17","4","32","24","59","8","2","0","6","4","0","0","1","0","0","0","0"
"84","Rashid Shaheed (NO)","6","3","58","41","120","18","1","0","7","4","0","0","2","1","1","1","0"
"85","Tim Patrick (DET)","16","2","25","16","27","9","3","0","3","2","0","1","1","0","0","0","0"
"86","Tutu Atwell (LAR)","17","2","33","26","41","7","1","0","4","3","0","0","1","1","0","0","0"
"87","Diontae Johnson (CLE)","11","3","34","26","66","8","2","0","6","3","0","1","2","0","0","0","0"
"88","Greg Dortch (ARI)","17","2","20","3","12","17","6","0","3","2","0","0","1","0","0","0","0"
